Date,Country,TemperatureC
2020-01-01,Afghanistan,0.8184026923076924
2020-01-02,Afghanistan,0.8134576793275935
2020-01-03,Afghanistan,0.8131060931847122
2020-01-04,Afghanistan,0.8173479338790482
2020-01-05,Afghanistan,0.8261832014106019
2020-01-06,Afghanistan,0.8396118957793729
2020-01-07,Afghanistan,0.8576340169853617
2020-01-08,Afghanistan,0.8802495650285677
2020-01-09,Afghanistan,0.9074585399089912
2020-01-10,Afghanistan,0.9392609416266325
2020-01-11,Afghanistan,0.9756567701814913
2020-01-12,Afghanistan,1.0166460255735674
2020-01-13,Afghanistan,1.0622287078028612
2020-01-14,Afghanistan,1.1124048168693723
2020-01-15,Afghanistan,1.1671743527731009
2020-01-16,Afghanistan,1.2265373155140473
2020-01-17,Afghanistan,1.290493705092211
2020-01-18,Afghanistan,1.3590435215075924
2020-01-19,Afghanistan,1.4321867647601907
2020-01-20,Afghanistan,1.5099234348500072
2020-01-21,Afghanistan,1.592253531777041
2020-01-22,Afghanistan,1.6791770555412924
2020-01-23,Afghanistan,1.7706940061427612
2020-01-24,Afghanistan,1.8668043835814472
2020-01-25,Afghanistan,1.9675081878573513
2020-01-26,Afghanistan,2.0728054189704723
2020-01-27,Afghanistan,2.182696076920811
2020-01-28,Afghanistan,2.2971801617083676
2020-01-29,Afghanistan,2.4162576733331416
2020-01-30,Afghanistan,2.5399286117951325
2020-01-31,Afghanistan,2.6681929770943418
2020-02-01,Afghanistan,2.801050769230768
2020-02-02,Afghanistan,2.9385019882044117
2020-02-03,Afghanistan,3.080546634015273
2020-02-04,Afghanistan,3.227184706663352
2020-02-05,Afghanistan,3.3784162061486485
2020-02-06,Afghanistan,3.534241132471162
2020-02-07,Afghanistan,3.6946594856308943
2020-02-08,Afghanistan,3.859671265627843
2020-02-09,Afghanistan,4.029276472462009
2020-02-10,Afghanistan,4.203475106133394
2020-02-11,Afghanistan,4.382267166641995
2020-02-12,Afghanistan,4.565652653987814
2020-02-13,Afghanistan,4.753631568170849
2020-02-14,Afghanistan,4.946203909191104
2020-02-15,Afghanistan,5.143369677048574
2020-02-16,Afghanistan,5.344520442547261
2020-02-17,Afghanistan,5.5460056305111465
2020-02-18,Afghanistan,5.747216811744227
2020-02-19,Afghanistan,5.948153986246504
2020-02-20,Afghanistan,6.148817154017975
2020-02-21,Afghanistan,6.349206315058642
2020-02-22,Afghanistan,6.549321469368506
2020-02-23,Afghanistan,6.749162616947565
2020-02-24,Afghanistan,6.948729757795821
2020-02-25,Afghanistan,7.148022891913271
2020-02-26,Afghanistan,7.347042019299917
2020-02-27,Afghanistan,7.54578713995576
2020-02-28,Afghanistan,7.744258253880799
2020-02-29,Afghanistan,7.942455361075032
2020-03-01,Afghanistan,8.140378461538461
2020-03-02,Afghanistan,8.338027555271086
2020-03-03,Afghanistan,8.535402642272908
2020-03-04,Afghanistan,8.732503722543925
2020-03-05,Afghanistan,8.929330796084137
2020-03-06,Afghanistan,9.125883862893547
2020-03-07,Afghanistan,9.32216292297215
2020-03-08,Afghanistan,9.51816797631995
2020-03-09,Afghanistan,9.713899022936946
2020-03-10,Afghanistan,9.909356062823136
2020-03-11,Afghanistan,10.104539095978524
2020-03-12,Afghanistan,10.299448122403106
2020-03-13,Afghanistan,10.494083142096885
2020-03-14,Afghanistan,10.688444155059859
2020-03-15,Afghanistan,10.88253116129203
2020-03-16,Afghanistan,11.076344160793397
2020-03-17,Afghanistan,11.26978667280781
2020-03-18,Afghanistan,11.462279812798398
2020-03-19,Afghanistan,11.653727100009009
2020-03-20,Afghanistan,11.844128534439648
2020-03-21,Afghanistan,12.033484116090307
2020-03-22,Afghanistan,12.221793844960994
2020-03-23,Afghanistan,12.409057721051704
2020-03-24,Afghanistan,12.595275744362441
2020-03-25,Afghanistan,12.7804479148932
2020-03-26,Afghanistan,12.96457423264399
2020-03-27,Afghanistan,13.147654697614799
2020-03-28,Afghanistan,13.329689309805635
2020-03-29,Afghanistan,13.510678069216496
2020-03-30,Afghanistan,13.690620975847384
2020-03-31,Afghanistan,13.869518029698295
2020-04-01,Afghanistan,14.047369230769233
2020-04-02,Afghanistan,14.22417457906019
2020-04-03,Afghanistan,14.399934074571176
2020-04-04,Afghanistan,14.574647717302188
2020-04-05,Afghanistan,14.748315507253222
2020-04-06,Afghanistan,14.920937444424283
2020-04-07,Afghanistan,15.09251352881537
2020-04-08,Afghanistan,15.26304376042648
2020-04-09,Afghanistan,15.432528139257617
2020-04-10,Afghanistan,15.600966665308778
2020-04-11,Afghanistan,15.768359338579963
2020-04-12,Afghanistan,15.93470615907117
2020-04-13,Afghanistan,16.10000712678241
2020-04-14,Afghanistan,16.264262241713666
2020-04-15,Afghanistan,16.427471503864954
2020-04-16,Afghanistan,16.589634913236264
2020-04-17,Afghanistan,16.75132806354975
2020-04-18,Afghanistan,16.913126548527554
2020-04-19,Afghanistan,17.075030368169678
2020-04-20,Afghanistan,17.237039522476127
2020-04-21,Afghanistan,17.3991540114469
2020-04-22,Afghanistan,17.561373835081994
2020-04-23,Afghanistan,17.723698993381408
2020-04-24,Afghanistan,17.886129486345144
2020-04-25,Afghanistan,18.048665313973203
2020-04-26,Afghanistan,18.21130647626558
2020-04-27,Afghanistan,18.374052973222284
2020-04-28,Afghanistan,18.536904804843306
2020-04-29,Afghanistan,18.69986197112865
2020-04-30,Afghanistan,18.862924472078316
2020-05-01,Afghanistan,19.026092307692306
2020-05-02,Afghanistan,19.189365477970618
2020-05-03,Afghanistan,19.35274398291325
2020-05-04,Afghanistan,19.516227822520204
